Blue Bloods,Riverdale,S4,E5,"And waste a day with
a bunch of blue bloods","0:19:51,95","0:19:53,252"
Blue Bloods,Marvel's Agents of S.H.I.E.L.D.,S5,E7,"We need to make a move
on those blue bloods.","0:12:45,394","0:12:47,996"
Marvel's Agents of S.H.I.E.L.D.,Once Upon a Time,S6,E20,"<i> Marvel's</i>
<i> agents of S.H.I.E.L.D. --</i>","0:44:0,137","0:44:2,70"
Marvel's Agents of S.H.I.E.L.D.,Once Upon a Time,S6,E4,"<i>Marvel's</i>
<i>Agents of S.H.I.E.L.D...</i>","0:44:0,170","0:44:2,105"
Marvel's Agents of S.H.I.E.L.D.,Once Upon a Time,S6,E5,"<i>Marvel's</i>
<i>Agents of S.H.I.E.L.D.</i>","0:44:0,179","0:44:2,119"
The Big Bang Theory,Family Guy,S9,E17,"Do you know what the
big bang theory is?","0:7:43,462","0:7:45,430"
The Big Bang Theory,Family Guy,S9,E16,"Do you know what the
big bang theory is?","0:7:42,519","0:7:44,487"
The Big Bang Theory,Family Guy,S9,E17,"<font color=#00FF00>âª Family Guy 9x17 âª</font>
<font color=#00FFFF>The Big Bang Theory</font>
Original Air Date on May 8, 2011","0:0:28,809","0:0:31,809"
The Big Bang Theory,Family Guy,S9,E16,"<font color=#00FF00>âª Family Guy 9x17 âª</font>
<font color=#00FFFF>The Big Bang Theory</font>
Original Air Date on May 8, 2011","0:0:28,438","0:0:31,438"
Adventure Time,Teen Titans Go!,S3,E46,"Yeah, I'm gonna take couch
over adventure this time.","0:5:57,77","0:5:58,843"
Modern Family,Chicago P.D.,S9,E10,"with our baby.
This modern family.","0:37:56,708","0:37:59,929"
Modern Family,Family Guy,S16,E1,"than the actual Lily
on Modern Family.","0:3:30,92","0:3:33,28"
Modern Family,The Simpsons,S25,E19,"Now that's what I call
a modern family.","0:19:10,415","0:19:13,918"
Modern Family,9-1-2001,S1,E8,"and try to play happy, modern family.","0:18:23,840","0:18:25,691"
Modern Family,Top Gear,S1,E3,"We welcomed a Modern Family man
on our track.","0:0:8,389","0:0:11,506"
Family Guy,Two and a Half Men,S1,E10,"-I'm like, Mr. Family Guy.
-Yeah, right, Family Guy.","0:4:35,879","0:4:40,631"
Family Guy,Supernatural,S9,E9,"It's not what you think.
He's a family guy.","0:16:36,291","0:16:38,124"
Family Guy,Law & Order,S12,E2,"My feeling is whatever
family this guy had,","0:6:11,638","0:6:14,346"
Family Guy,Castle,S4,E11,"In from out of time,
family guy, own business...","0:8:46,974","0:8:48,673"
Family Guy,Two and a Half Men,S1,E10,"-I need to show Lisa that I'm a family guy.
-But you're not.","0:6:38,273","0:6:43,493"
Family Guy,Law & Order: Special Victims Unit,S9,E17,"- Well, what about friends, family?
- The guy's a loner.","0:31:41,467","0:31:44,6"
Family Guy,Suits,S4,E15,"Yeah, well, is the truth going
to support the family of a guy","0:29:28,767","0:29:30,894"
Westworld,Malcolm in the Middle,S1,E5,"WESTWORLD,
TERMINATOR","0:1:35,662","0:1:36,663"
Riverdale,FBI,S4,E6,"- Okay, Riverdale,
what's in Riverdale?","0:23:6,689","0:23:8,821"
Riverdale,Law & Order,S9,E8,"A McDonalds
in Riverdale.","0:20:13,979","0:20:15,537"
Riverdale,Chicago Fire,S7,E20,"- Uh, driver...
- Riverdale!","0:33:38,625","0:33:40,757"
Riverdale,Shameless,S10,E9,"- So...
- Fuck you, Riverdale.","0:32:55,728","0:32:57,486"
Riverdale,Law & Order,S12,E12,"in midtown,
lived in Riverdale.","0:2:28,208","0:2:29,585"
Riverdale,Law & Order,S4,E17,"And where's home?
Riverdale.","0:43:15,259","0:43:17,159"
